Station,City,Name,Date,Wind_Avg,Rain,Snowfall,Snow_Depth,Temp_Avg
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",1/31/2016,8.5,0,0,5.1,40
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/1/2016,9.62,0,0,2,48
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/2/2016,5.59,0,0,0,44
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/3/2016,16.11,0.44,0,0,47
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/4/2016,9.62,0.04,0,0,53
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/5/2016,17.22,0.76,4.6,1.2,39
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/6/2016,8.5,0,0,3.9,33
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/7/2016,6.93,0,0,2,37
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/8/2016,15.21,0.16,1.7,1.2,36
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/9/2016,6.49,0,0,2,30
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/10/2016,12.97,0.02,0.1,1.2,35
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/11/2016,21.92,0,0,0,28
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/12/2016,11.86,0,0,0,22
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/13/2016,23.04,0,0,0,22
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/14/2016,14.32,0,0,0,8
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/15/2016,6.71,0.64,1.7,0,19
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/16/2016,18.34,0.47,0,0,46
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/17/2016,12.75,0,0,0,40
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/18/2016,15.21,0,0,0,35
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/19/2016,9.62,0,0,0,30
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/20/2016,13.87,0,0,0,46
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/21/2016,7.16,0.08,0,0,49
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/22/2016,7.38,0,0,0,45
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/23/2016,15.43,0.29,0,0,39
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/24/2016,19.01,1.05,0,0,44
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/25/2016,23.49,0.04,0,0,50
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/26/2016,20.58,0,0,0,38
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/27/2016,14.09,0,0,0,33
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/28/2016,14.76,0,0,0,43
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",2/29/2016,14.99,0.06,0,0,48
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/1/2016,13.87,0,0,0,46
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/2/2016,23.49,0.16,0,0,47
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/3/2016,12.08,0,0,0,32
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/4/2016,12.75,0.13,1.4,1.2,33
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/5/2016,9.17,0,0,0,35
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/6/2016,6.71,0,0,0,37
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/7/2016,12.3,0,0,0,42
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/8/2016,6.71,0,0,0,51
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/9/2016,5.37,0,0,0,50
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/10/2016,6.26,0,0,0,59
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/11/2016,12.3,0.02,0,0,61
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/12/2016,8.5,0,0,0,49
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/13/2016,8.05,0,0,0,55
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/14/2016,17.22,0.47,0,0,48
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/15/2016,11.41,0,0,0,49
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/16/2016,6.49,0.01,0,0,50
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/17/2016,9.17,0,0,0,51
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/18/2016,16.55,0,0,0,52
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/19/2016,7.16,0,0,0,44
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/20/2016,10.74,0.03,0.1,0,40
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/21/2016,14.99,0.09,0.4,1.2,40
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/22/2016,16.78,0,0,0,43
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/23/2016,9.84,0,0,0,55
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/24/2016,12.97,0,0,0,49
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/25/2016,12.3,0,0,0,52
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/26/2016,10.74,0,0,0,47
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/27/2016,9.84,0,0,0,44
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/28/2016,16.33,0.48,0,0,49
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/29/2016,24.61,0,0,0,51
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/30/2016,12.08,0,0,0,44
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",3/31/2016,20.58,0,0,0,53
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/1/2016,14.76,0.02,0,0,56
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/2/2016,11.18,0.27,0,0,53
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/3/2016,23.26,0.1,0,0,42
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/4/2016,10.96,0.32,0,0,42
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/5/2016,16.11,0,0,0,34
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/6/2016,12.3,0,0,0,37
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/7/2016,19.69,0.06,0,0,51
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/8/2016,16.33,0,0,0,48
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/9/2016,10.96,0.09,0,0,40
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/10/2016,15.66,0,0,0,40
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/11/2016,21.7,0,0,0,48
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/12/2016,17.22,0.17,0,0,52
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/13/2016,8.5,0,0,0,47
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/14/2016,7.38,0,0,0,47
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/15/2016,6.93,0,0,0,48
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/16/2016,8.5,0,0,0,50
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/17/2016,7.16,0,0,0,53
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/18/2016,8.28,0,0,0,60
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/19/2016,14.54,0,0,0,63
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/20/2016,12.3,0,0,0,58
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/21/2016,13.2,0,0,0,54
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/22/2016,6.71,0.02,0,0,61
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/23/2016,12.3,0.12,0,0,64
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/24/2016,12.08,0,0,0,56
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/25/2016,5.37,0,0,0,55
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/26/2016,10.29,0.04,0,0,56
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/27/2016,9.62,0,0,0,50
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/28/2016,8.28,0,0,0,52
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/29/2016,11.18,0.03,0,0,51
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",4/30/2016,8.28,0,0,0,51
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/1/2016,8.28,0.22,0,0,49
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/2/2016,5.82,0.05,0,0,49
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/3/2016,7.38,0.75,0,0,53
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/4/2016,10.96,0.07,0,0,51
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/5/2016,15.43,0,0,0,51
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/6/2016,14.99,0.68,0,0,51
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/7/2016,6.71,0,0,0,51
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/8/2016,11.86,0.11,0,0,54
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/9/2016,13.65,0,0,0,61
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/10/2016,9.62,0,0,0,57
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/11/2016,7.16,0,0,0,60
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/12/2016,6.71,0,0,0,62
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/13/2016,5.37,0.25,0,0,57
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/14/2016,10.29,0,0,0,63
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/15/2016,19.91,0,0,0,56
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/16/2016,18.79,0,0,0,53
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/17/2016,11.18,0,0,0,59
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/18/2016,7.83,0.02,0,0,57
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/19/2016,7.16,0,0,0,57
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/20/2016,7.16,0,0,0,61
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/21/2016,6.93,0.1,0,0,58
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/22/2016,7.16,0.06,0,0,59
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/23/2016,6.49,0,0,0,61
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/24/2016,6.71,0.34,0,0,65
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/25/2016,9.4,0,0,0,71
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/26/2016,9.62,0,0,0,74
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/27/2016,9.62,0,0,0,69
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/28/2016,11.41,0,0,0,71
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/29/2016,9.84,0.01,0,0,70
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/30/2016,10.29,1.05,0,0,68
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",5/31/2016,6.04,0,0,0,70
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/1/2016,9.4,0,0,0,73
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/2/2016,9.62,0,0,0,66
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/3/2016,5.14,0.01,0,0,65
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/4/2016,7.83,0,0,0,69
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/5/2016,12.53,0.67,0,0,68
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/6/2016,11.63,0,0,0,73
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/7/2016,11.41,0,0,0,75
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/8/2016,15.66,0.66,0,0,65
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/9/2016,19.01,0,0,0,64
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/10/2016,13.87,0,0,0,68
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/11/2016,8.95,0,0,0,70
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/12/2016,20.8,0,0,0,81
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/13/2016,19.24,0,0,0,67
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/14/2016,11.41,0,0,0,70
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/15/2016,9.17,0,0,0,73
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/16/2016,4.03,0.04,0,0,69
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/17/2016,8.28,0,0,0,70
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/18/2016,7.61,0,0,0,69
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/19/2016,8.05,0,0,0,71
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/20/2016,8.05,0,0,0,69
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/21/2016,10.96,0,0,0,78
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/22/2016,8.95,0,0,0,80
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/23/2016,5.14,0,0,0,77
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/24/2016,10.74,0,0,0,76
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/25/2016,8.5,0,0,0,73
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/26/2016,9.84,0,0,0,73
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/27/2016,15.88,0.09,0,0,73
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/28/2016,10.96,0.14,0,0,72
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/29/2016,8.5,0,0,0,78
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",6/30/2016,11.18,0,0,0,78
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/1/2016,9.4,0.45,0,0,74
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/2/2016,14.32,0,0,0,74
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/3/2016,9.62,0,0,0,75
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/4/2016,12.08,0.52,0,0,74
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/5/2016,9.62,0.47,0,0,78
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/6/2016,9.62,0,0,0,82
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/7/2016,7.16,0.07,0,0,79
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/8/2016,11.41,0.02,0,0,78
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/9/2016,11.41,0.25,0,0,69
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/10/2016,10.51,0,0,0,73
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/11/2016,9.62,0,0,0,74
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/12/2016,11.18,0,0,0,73
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/13/2016,11.18,0,0,0,75
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/14/2016,8.72,0.28,0,0,78
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/15/2016,11.41,0,0,0,83
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/16/2016,9.17,0.07,0,0,82
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/17/2016,8.5,0,0,0,79
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/18/2016,10.74,0.18,0,0,80
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/19/2016,13.2,0,0,0,80
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/20/2016,8.28,0,0,0,76
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/21/2016,14.32,0,0,0,77
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/22/2016,13.65,0,0,0,80
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/23/2016,12.53,0,0,0,87
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/24/2016,10.74,0,0,0,83
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/25/2016,10.29,2.47,0,0,78
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/26/2016,11.41,0,0,0,82
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/27/2016,7.38,0,0,0,82
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/28/2016,8.05,0,0,0,80
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/29/2016,10.07,0.65,0,0,77
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/30/2016,7.61,0.18,0,0,77
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",7/31/2016,10.51,0.45,0,0,77
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/1/2016,8.95,0,0,0,74
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/2/2016,8.5,0,0,0,74
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/3/2016,7.83,0,0,0,72
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/4/2016,6.71,0,0,0,72
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/5/2016,11.41,0,0,0,74
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/6/2016,10.51,0.18,0,0,77
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/7/2016,10.29,0,0,0,80
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/8/2016,6.93,0,0,0,80
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/9/2016,8.5,0,0,0,78
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/10/2016,13.42,0.05,0,0,79
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/11/2016,8.95,0.06,0,0,82
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/12/2016,12.08,0.01,0,0,83
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/13/2016,10.74,0,0,0,85
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/14/2016,10.07,0.01,0,0,87
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/15/2016,8.5,0,0,0,84
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/16/2016,13.42,0,0,0,82
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/17/2016,14.54,0.01,0,0,82
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/18/2016,4.92,0.01,0,0,79
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/19/2016,7.61,0,0,0,80
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/20/2016,6.71,0.03,0,0,79
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/21/2016,12.53,0.26,0,0,80
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/22/2016,16.11,0,0,0,76
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/23/2016,8.05,0,0,0,71
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/24/2016,11.18,0,0,0,75
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/25/2016,14.32,0,0,0,76
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/26/2016,10.51,0,0,0,81
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/27/2016,8.5,0,0,0,81
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/28/2016,6.71,0,0,0,78
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/29/2016,9.84,0,0,0,81
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/30/2016,8.72,0,0,0,77
